,Date,PETR4
1664,2017-09-18,15.039999961853027
1665,2017-09-19,15.140000343322754
1666,2017-09-20,15.869999885559082
1667,2017-09-21,15.670000076293945
1668,2017-09-22,15.6899995803833
1669,2017-09-25,15.84000015258789
1670,2017-09-26,15.5600004196167
1671,2017-09-27,15.3100004196167
1672,2017-09-28,15.34000015258789
1673,2017-09-29,15.300000190734863
1674,2017-10-02,15.399999618530273
1675,2017-10-03,15.979999542236328
1676,2017-10-04,15.65999984741211
1677,2017-10-05,15.899999618530273
1678,2017-10-06,15.6899995803833
1679,2017-10-09,15.890000343322754
1680,2017-10-10,16.190000534057617
1681,2017-10-11,16.079999923706055
1682,2017-10-12,16.079999923706055
1683,2017-10-13,16.079999923706055
1684,2017-10-16,16.1200008392334
1685,2017-10-17,16.1299991607666
1686,2017-10-18,16.15999984741211
1687,2017-10-19,16.149999618530273
1688,2017-10-20,16.219999313354492
1689,2017-10-23,16.200000762939453
1690,2017-10-24,16.510000228881836
1691,2017-10-25,16.719999313354492
1692,2017-10-26,16.729999542236328
1693,2017-10-27,17.030000686645508
1694,2017-10-30,16.780000686645508
1695,2017-10-31,16.770000457763672
1696,2017-11-01,16.899999618530273
1697,2017-11-02,16.899999618530273
1698,2017-11-03,16.940000534057617
1699,2017-11-06,17.43000030517578
1700,2017-11-07,16.5
1701,2017-11-08,16.950000762939453
1702,2017-11-09,16.719999313354492
1703,2017-11-10,16.719999313354492
1704,2017-11-13,16.639999389648438
1705,2017-11-14,15.350000381469727
1706,2017-11-15,15.350000381469727
1707,2017-11-16,15.8100004196167
1708,2017-11-17,16.020000457763672
1709,2017-11-20,16.020000457763672
1710,2017-11-21,15.899999618530273
1711,2017-11-22,16.110000610351562
1712,2017-11-23,16.190000534057617
1713,2017-11-24,16.100000381469727
1714,2017-11-27,15.869999885559082
1715,2017-11-28,15.84000015258789
1716,2017-11-29,15.329999923706055
1717,2017-11-30,15.380000114440918
1718,2017-12-01,15.609999656677246
1719,2017-12-04,15.479999542236328
1720,2017-12-05,15.3100004196167
1721,2017-12-06,15.520000457763672
1722,2017-12-07,15.260000228881836
1723,2017-12-08,15.350000381469727
1724,2017-12-11,15.380000114440918
1725,2017-12-12,15.489999771118164
1726,2017-12-13,15.180000305175781
1727,2017-12-14,15.010000228881836
1728,2017-12-15,14.949999809265137
1729,2017-12-18,15.220000267028809
1730,2017-12-19,15.140000343322754
1731,2017-12-20,15.239999771118164
1732,2017-12-21,15.859999656677246
1733,2017-12-22,15.75
1734,2017-12-25,15.75
1735,2017-12-26,15.970000267028809
1736,2017-12-27,16.049999237060547
1737,2017-12-28,16.100000381469727
1738,2017-12-29,16.100000381469727
1739,2018-01-02,16.549999237060547
1740,2018-01-03,16.700000762939453
1741,2018-01-04,16.729999542236328
1742,2018-01-05,16.829999923706055
1743,2018-01-08,17.030000686645508
1744,2018-01-09,17.030000686645508
1745,2018-01-10,16.799999237060547
1746,2018-01-11,17.25
1747,2018-01-12,17.299999237060547
1748,2018-01-15,17.350000381469727
1749,2018-01-16,17.649999618530273
1750,2018-01-17,18.360000610351562
1751,2018-01-18,18.219999313354492
1752,2018-01-19,18.260000228881836
1753,2018-01-22,18.469999313354492
1754,2018-01-23,18.239999771118164
1755,2018-01-24,19.34000015258789
1756,2018-01-25,19.34000015258789
1757,2018-01-26,19.93000030517578
1758,2018-01-29,19.850000381469727
1759,2018-01-30,19.489999771118164
1760,2018-01-31,19.700000762939453
1761,2018-02-01,20.520000457763672
1762,2018-02-02,19.969999313354492
1763,2018-02-05,19.040000915527344
1764,2018-02-06,19.989999771118164
1765,2018-02-07,19.440000534057617
1766,2018-02-08,19.049999237060547
1767,2018-02-09,18.770000457763672
1768,2018-02-14,19.25
1769,2018-02-15,19.399999618530273
1770,2018-02-16,19.420000076293945
1771,2018-02-19,20.049999237060547
1772,2018-02-20,20.440000534057617
1773,2018-02-21,20.25
1774,2018-02-22,20.739999771118164
1775,2018-02-23,21.1200008392334
