,Date,USD/BRL
1618,2017-03-16,3.1185
1619,2017-03-17,3.0918
1620,2017-03-20,3.0726
1621,2017-03-21,3.0884
1622,2017-03-22,3.088
1623,2017-03-23,3.1395
1624,2017-03-24,3.1086
1625,2017-03-27,3.1265
1626,2017-03-28,3.1412
1627,2017-03-29,3.1199
1628,2017-03-30,3.1495
1629,2017-03-31,3.1233
1630,2017-04-03,3.1147
1631,2017-04-04,3.0939
1632,2017-04-05,3.1203
1633,2017-04-06,3.1426
1634,2017-04-07,3.1462
1635,2017-04-10,3.132
1636,2017-04-11,3.1372
1637,2017-04-12,3.1258
1638,2017-04-13,3.1444
1639,2017-04-14,3.1448
1640,2017-04-17,3.0985
1641,2017-04-18,3.1079
1642,2017-04-19,3.1522
1643,2017-04-20,3.1486
1644,2017-04-21,3.1482
1645,2017-04-24,3.128
1646,2017-04-25,3.1471
1647,2017-04-26,3.1723
1648,2017-04-27,3.1834
1649,2017-04-28,3.1767
1650,2017-05-01,3.1765
1651,2017-05-02,3.1517
1652,2017-05-03,3.1652
1653,2017-05-04,3.1885
1654,2017-05-05,3.1774
1655,2017-05-08,3.198
1656,2017-05-09,3.1902
1657,2017-05-10,3.1678
1658,2017-05-11,3.1403
1659,2017-05-12,3.1218
1660,2017-05-15,3.1113
1661,2017-05-16,3.0964
1662,2017-05-17,3.138
1663,2017-05-18,3.371
1664,2017-05-19,3.253
1665,2017-05-22,3.2656
1666,2017-05-23,3.2705
1667,2017-05-24,3.2784
1668,2017-05-25,3.2736
1669,2017-05-26,3.2601
1670,2017-05-29,3.2567
1671,2017-05-30,3.2577
1672,2017-05-31,3.2266
1673,2017-06-01,3.2506
1674,2017-06-02,3.2483
1675,2017-06-05,3.2969
1676,2017-06-06,3.2778
1677,2017-06-07,3.2695
1678,2017-06-08,3.2617
1679,2017-06-09,3.2971
1680,2017-06-12,3.3181
1681,2017-06-13,3.3154
1682,2017-06-14,3.2741
1683,2017-06-15,3.275
1684,2017-06-16,3.2933
1685,2017-06-19,3.2828
1686,2017-06-20,3.327
1687,2017-06-21,3.3362
1688,2017-06-22,3.3425
1689,2017-06-23,3.343
1690,2017-06-26,3.2964
1691,2017-06-27,3.3135
1692,2017-06-28,3.2805
1693,2017-06-29,3.3043
1694,2017-06-30,3.3072
1695,2017-07-03,3.3015
1696,2017-07-04,3.3093
1697,2017-07-05,3.2889
1698,2017-07-06,3.2962
1699,2017-07-07,3.2813
1700,2017-07-10,3.2557
1701,2017-07-11,3.2548
1702,2017-07-12,3.2078
1703,2017-07-13,3.2138
1704,2017-07-14,3.1799
1705,2017-07-17,3.1833
1706,2017-07-18,3.1545
1707,2017-07-19,3.149
1708,2017-07-20,3.1208
1709,2017-07-21,3.1418
1710,2017-07-24,3.147
1711,2017-07-25,3.1726
1712,2017-07-26,3.1387
1713,2017-07-27,3.153
1714,2017-07-28,3.1319
1715,2017-07-31,3.1264
1716,2017-08-01,3.1265
1717,2017-08-02,3.1137
1718,2017-08-03,3.1125
1719,2017-08-04,3.1314
1720,2017-08-07,3.1265
1721,2017-08-08,3.1269
1722,2017-08-09,3.1559
1723,2017-08-10,3.1757
1724,2017-08-11,3.1938
1725,2017-08-14,3.189
1726,2017-08-15,3.1695
1727,2017-08-16,3.1524
1728,2017-08-17,3.1751
1729,2017-08-18,3.1465
1730,2017-08-21,3.1645
1731,2017-08-22,3.1611
1732,2017-08-23,3.1414
1733,2017-08-24,3.1481
1734,2017-08-25,3.1603
1735,2017-08-28,3.167
1736,2017-08-29,3.1652
1737,2017-08-30,3.1603
1738,2017-08-31,3.1479
1739,2017-09-01,3.1416
1740,2017-09-04,3.1417
1741,2017-09-05,3.1174
1742,2017-09-06,3.1004
1743,2017-09-07,3.0993
1744,2017-09-08,3.0868
1745,2017-09-11,3.1029
1746,2017-09-12,3.1251
1747,2017-09-13,3.1353
1748,2017-09-14,3.119
1749,2017-09-15,3.1085
1750,2017-09-18,3.1368
1751,2017-09-19,3.135
1752,2017-09-20,3.1325
1753,2017-09-21,3.1377
1754,2017-09-22,3.125
1755,2017-09-25,3.16
1756,2017-09-26,3.1666
1757,2017-09-27,3.1932
1758,2017-09-28,3.1825
1759,2017-09-29,3.1619
1760,2017-10-02,3.1544
1761,2017-10-03,3.1427
1762,2017-10-04,3.1352
1763,2017-10-05,3.1544
1764,2017-10-06,3.1561
1765,2017-10-09,3.1888
1766,2017-10-10,3.1795
1767,2017-10-11,3.1724
1768,2017-10-12,3.1705
1769,2017-10-13,3.1452
1770,2017-10-16,3.1712
1771,2017-10-17,3.158
1772,2017-10-18,3.1711
1773,2017-10-19,3.1671
1774,2017-10-20,3.1925
1775,2017-10-23,3.2378
1776,2017-10-24,3.2435
1777,2017-10-25,3.2332
1778,2017-10-26,3.2905
1779,2017-10-27,3.2363
1780,2017-10-30,3.2891
1781,2017-10-31,3.2728
1782,2017-11-01,3.2676
1783,2017-11-02,3.268
1784,2017-11-03,3.3144
1785,2017-11-06,3.2495
1786,2017-11-07,3.2714
1787,2017-11-08,3.2548
1788,2017-11-09,3.2521
1789,2017-11-10,3.2779
1790,2017-11-13,3.2794
1791,2017-11-14,3.3131
1792,2017-11-15,3.3133
1793,2017-11-16,3.274
1794,2017-11-17,3.2574
1795,2017-11-20,3.2573
1796,2017-11-21,3.2588
1797,2017-11-22,3.2243
1798,2017-11-23,3.2219
1799,2017-11-24,3.233
1800,2017-11-27,3.2278
1801,2017-11-28,3.2131
1802,2017-11-29,3.2461
1803,2017-11-30,3.2727
1804,2017-12-01,3.2581
1805,2017-12-04,3.2442
1806,2017-12-05,3.2418
1807,2017-12-06,3.2357
1808,2017-12-07,3.2907
1809,2017-12-08,3.2919
1810,2017-12-11,3.3048
1811,2017-12-12,3.3065
1812,2017-12-13,3.31
1813,2017-12-14,3.3419
1814,2017-12-15,3.2947
1815,2017-12-18,3.2923
1816,2017-12-19,3.29
1817,2017-12-20,3.2979
1818,2017-12-21,3.3084
1819,2017-12-22,3.337
1820,2017-12-25,3.337
1821,2017-12-26,3.3111
1822,2017-12-27,3.315
1823,2017-12-28,3.3125
1824,2017-12-29,3.3125
1825,2018-01-01,3.3125
1826,2018-01-02,3.2591
1827,2018-01-03,3.237
1828,2018-01-04,3.2347
1829,2018-01-05,3.2291
1830,2018-01-08,3.2407
1831,2018-01-09,3.2483
1832,2018-01-10,3.2283
1833,2018-01-11,3.2155
1834,2018-01-12,3.2064
1835,2018-01-15,3.2163
1836,2018-01-16,3.2243
1837,2018-01-17,3.2238
1838,2018-01-18,3.2065
1839,2018-01-19,3.1962
1840,2018-01-22,3.2021
1841,2018-01-23,3.237
1842,2018-01-24,3.1465
1843,2018-01-25,3.1485
1844,2018-01-26,3.151
1845,2018-01-29,3.155
1846,2018-01-30,3.1812
1847,2018-01-31,3.1859
1848,2018-02-01,3.1669
1849,2018-02-02,3.2181
1850,2018-02-05,3.2625
1851,2018-02-06,3.2348
1852,2018-02-07,3.2714
1853,2018-02-08,3.2858
1854,2018-02-09,3.2942
1855,2018-02-12,3.2954
1856,2018-02-13,3.2957
1857,2018-02-14,3.2174
1858,2018-02-15,3.2279
1859,2018-02-16,3.2312
1860,2018-02-19,3.2347
1861,2018-02-20,3.2557
1862,2018-02-21,3.2692
1863,2018-02-22,3.2502
1864,2018-02-23,3.2379
1865,2018-02-26,3.2258
1866,2018-02-27,3.2516
1867,2018-02-28,3.2462
1868,2018-03-01,3.2515
1869,2018-03-02,3.2528
1870,2018-03-05,3.243
1871,2018-03-06,3.2117
1872,2018-03-07,3.2454
1873,2018-03-08,3.2669
1874,2018-03-09,3.2553
1875,2018-03-12,3.2622
1876,2018-03-13,3.2607
1877,2018-03-14,3.2607
1878,2018-03-15,3.2862
1879,2018-03-16,3.2811
1880,2018-03-19,3.2862
1881,2018-03-20,3.3117
1882,2018-03-21,3.2725
1883,2018-03-22,3.3159
1884,2018-03-23,3.3123
1885,2018-03-26,3.3119
1886,2018-03-27,3.3288
1887,2018-03-28,3.3205
1888,2018-03-29,3.306
1889,2018-03-30,3.3051
1890,2018-04-02,3.3111
1891,2018-04-03,3.3413
1892,2018-04-04,3.3297
1893,2018-04-05,3.3449
1894,2018-04-06,3.3697
1895,2018-04-09,3.42
1896,2018-04-10,3.4088
1897,2018-04-11,3.3746
1898,2018-04-12,3.4132
1899,2018-04-13,3.4223
1900,2018-04-16,3.4194
1901,2018-04-17,3.4079
1902,2018-04-18,3.3804
1903,2018-04-19,3.3885
1904,2018-04-20,3.413
1905,2018-04-23,3.4527
1906,2018-04-24,3.4714
1907,2018-04-25,3.485
1908,2018-04-26,3.4755
1909,2018-04-27,3.4568
1910,2018-04-30,3.5072
1911,2018-05-01,3.5076
1912,2018-05-02,3.5518
1913,2018-05-03,3.5282
1914,2018-05-04,3.5304
1915,2018-05-07,3.5534
1916,2018-05-08,3.5636
1917,2018-05-09,3.5924
1918,2018-05-10,3.5502
1919,2018-05-11,3.5999
1920,2018-05-14,3.6231
1921,2018-05-15,3.654
1922,2018-05-16,3.6761
1923,2018-05-17,3.6966
1924,2018-05-18,3.737
1925,2018-05-21,3.6772
1926,2018-05-22,3.6448
1927,2018-05-23,3.6288
1928,2018-05-24,3.6495
1929,2018-05-25,3.6524
1930,2018-05-28,3.7352
1931,2018-05-29,3.7254
1932,2018-05-30,3.7241
1933,2018-05-31,3.7235
1934,2018-06-01,3.7633
1935,2018-06-04,3.7468
1936,2018-06-05,3.8068
1937,2018-06-06,3.8488
1938,2018-06-07,3.9078
1939,2018-06-08,3.7094
1940,2018-06-11,3.7097
1941,2018-06-12,3.7185
1942,2018-06-13,3.7201
1943,2018-06-14,3.806
1944,2018-06-15,3.7297
1945,2018-06-18,3.747
1946,2018-06-19,3.7471
1947,2018-06-20,3.7714
1948,2018-06-21,3.7691
1949,2018-06-22,3.786
1950,2018-06-25,3.7767
1951,2018-06-26,3.8016
1952,2018-06-27,3.8628
1953,2018-06-28,3.8624
1954,2018-06-29,3.8771
1955,2018-07-02,3.913
1956,2018-07-03,3.8975
1957,2018-07-04,3.9138
1958,2018-07-05,3.9327
1959,2018-07-06,3.8628
1960,2018-07-09,3.8727
1961,2018-07-10,3.8152
1962,2018-07-11,3.8773
1963,2018-07-12,3.8822
1964,2018-07-13,3.8518
1965,2018-07-16,3.8605
1966,2018-07-17,3.8388
1967,2018-07-18,3.8513
1968,2018-07-19,3.8295
1969,2018-07-20,3.7681
