DATAS,y_REAL,y_ARIMA_1,y_ARIMA_2,y_VAR_1,y_VAR_2,y_LSTM_1,y_LSTM_2
2021-04-15,5.449823529411765,5.45482765967046,5.458123620044798,5.49081093248522,5.461569860515342,5.5273294,5.4642777
2021-04-19,5.476830275229358,5.45102284389007,5.4507020027298,5.45383053665697,5.451643425643328,5.5164433,5.456803
2021-04-20,5.613718253968254,5.4510522248594055,5.449875014227827,5.479743599323032,5.458563635467713,5.512061,5.4561043
2021-04-22,5.5945238095238095,5.46821775803338,5.468160633848768,5.480582729051272,5.477333705382824,5.5624695,5.5093045
2021-04-23,5.688558139534884,5.496865292970334,5.496020644477559,5.541902215727664,5.509202353442781,5.612815,5.560152
2021-04-26,5.508870078740157,5.543048187738465,5.541150667257785,5.57526727466373,5.563749000808833,5.683875,5.6268287
2021-04-27,5.4771814345991565,5.571919644284773,5.572656482836967,5.596267599289782,5.589823660432754,5.66766,5.60841
2021-04-28,5.401973154362416,5.572566011877566,5.574045566698255,5.6266472305361726,5.590943259448504,5.639995,5.574819
2021-04-29,5.702014705882354,5.5520044400412845,5.554435619579708,5.571395514717418,5.55381871888938,5.5297313,5.475352
2021-05-03,5.563664179104478,5.540302090740395,5.543966769923755,5.557766505237999,5.542927478181819,5.547978,5.506052
2021-05-04,5.48953619302949,5.531552936658677,5.533505980989581,5.490318583222508,5.526121969875397,5.5888753,5.547601
2021-05-05,5.496057894736842,5.5288278409370095,5.529549229819818,5.5574923219390735,5.533092493503752,5.6717362,5.6038165
2021-05-06,5.592455555555556,5.552726665534374,5.553563907830486,5.567753082553278,5.557029379540001,5.60035,5.5292497
2021-05-10,5.567850340136054,5.547449642694351,5.549022103200543,5.565531704345118,5.565646114936593,5.5845237,5.5232587
2021-05-11,5.585516728624535,5.538510970092003,5.532808992973806,5.552482963589452,5.53976274928174,5.6116343,5.5515003
2021-05-12,5.479064220183486,5.546607471622989,5.546719335643367,5.5403736026368176,5.547439069526894,5.6484494,5.5834045
2021-05-13,5.700111111111111,5.552001523409388,5.556575953911505,5.569678749106287,5.558804917926943,5.6219797,5.555607
2021-05-17,5.677370044052863,5.570467065786282,5.568225681642215,5.582955336724847,5.582951067059088,5.640887,5.579129
2021-05-18,5.680805555555556,5.588370140757212,5.586028796510954,5.595426600058319,5.602770482582499,5.669891,5.6097994
2021-05-19,5.657279999999999,5.605064440198366,5.604881501985464,5.600267443787037,5.612680357269372,5.762884,5.687772
